Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
22,1266342,41,2664,456,0,64.97560976,109.864573,976,0,158.0454545,312.6752498,7595.10464,67.12246771,15075.5,104051.3997,948537,0,1266342,31658.55,159355.2595,996324,2,317671,7387.697674,19636.44809,104616,1,1328,1424,32.37671972,34.74574799,0,976,111.8372093,239.6868477,57449.78495,0,1,0,113.1529412,2664,29200,243,24,32,0,0,0,0,0,0
54089,2497,2,12,6,6,6,0,0,0,0,0,4805.76692,800.9611534,2497,0,2497,2497,2497,2497,0,2497,2497,0,0,0,0,0,40,0,800.9611534,0,6,6,6,0,0,0,0,1,9,12,3650,-1,1,20,0,0,0,0,0,0
53,488,1,56,56,56,56,0,116,116,116,0,352459.0164,4098.360656,488,0,488,488,0,0,0,0,0,0,0,0,0,0,32,32,2049.180328,2049.180328,56,116,76,34.64101615,1200,0,0,0,114,56,-1,-1,0,32,0,0,0,0,0,0
443,436067,13,860,267,0,66.15384615,87.16827228,1430,0,368.9285714,532.4835085,13816.68413,61.91709072,16771.80769,29592.68297,126687,1,436067,36338.91667,43754.75554,126687,3,388496,29884.30769,47870.47611,163427,1,272,292,29.81193257,32.10515815,0,1430,215.1785714,405.660874,164560.7447,0,1,0,223.1481481,860,8192,360,12,20,0,0,0,0,0,0
2260,19,1,0,0,0,0,0,6,6,6,0,315789.4737,105263.1579,19,0,19,19,0,0,0,0,0,0,0,0,0,0,40,20,52631.57895,52631.57895,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
2005,82,1,0,0,0,0,0,6,6,6,0,73170.73171,24390.2439,82,0,82,82,0,0,0,0,0,0,0,0,0,0,40,20,12195.12195,12195.12195,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
43720,1,1,6,6,6,6,0,0,0,0,0,6000000,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,20,40,1000000,1000000,0,6,4,3.464101615,12,1,0,1,6,6,0,29200,0,20,0,0,0,0,0,0
2920,14,1,0,0,0,0,0,6,6,6,0,428571.4286,142857.1429,14,0,14,14,0,0,0,0,0,0,0,0,0,0,40,20,71428.57143,71428.57143,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
9090,24,1,0,0,0,0,0,6,6,6,0,250000,83333.33333,24,0,24,24,0,0,0,0,0,0,0,0,0,0,40,20,41666.66667,41666.66667,0,6,2,3.464101615,12,0,1,0,3,0,29200,0,0,40,0,0,0,0,0,0
443,61622395,16,888,497,0,55.5,129.4300326,1460,0,371.9333333,591.591735,104.9456127,0.503063862,2054079.833,4040297.13,10000000,4,61600000,4108159.667,5013793.796,10100000,1047,61600000,4397936.643,5082841.528,10100000,46,332,384,0.259645864,0.243417998,0,1460,202.09375,438.7803006,192528.1522,0,1,0,208.6129032,888,8192,114,15,20,197785.8333,933292,50539,9996092,10000000,9975660
